"","id","bacia","monit","data","epoca","class","rio","munic","od","dbo","cf","ph","ct","st","clod","cldbo","clcf","clst","clph","clct"
"1","64359950","Cinzas","64359950 - CZ12 - ETA - WENCESLAU BRAZ",2005-03-17,"Verão","2","Ribeirao Natureza","Wenceslau Braz",7.98,2,13000,7.3,30000,75,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"2","64359950","Cinzas","64359950 - CZ12 - ETA - WENCESLAU BRAZ",2005-06-14,"Outono","2","Ribeirao Natureza","Wenceslau Braz",NA,2,7000,7.5,17000,35,NA,"Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"3","64359950","Cinzas","64359950 - CZ12 - ETA - WENCESLAU BRAZ",2005-10-07,"Primavera","2","Ribeirao Natureza","Wenceslau Braz",NA,4,17000,7,50000,59,NA,"Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"4","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1987-03-09,"Verão","2","Cinzas","Tomazina",8.9,1,1700,7.5,8000,88,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"5","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1987-06-07,"Outono","2","Cinzas","Tomazina",NA,1,1700,7.6,8000,91,NA,"Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"6","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1987-07-31,"Inverno","2","Cinzas","Tomazina",9.14,1,130,6.9,800,57,"Esperado da classe 2","Esperado da classe 2","Esperado da classe 2","Esperado da classe 2","Neutro","Esperado da classe 2"
"7","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1988-03-21,"Outono","2","Cinzas","Tomazina",7.88,1,1400,7,8000,83,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"8","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1988-10-01,"Primavera","2","Cinzas","Tomazina",7.62,3,500,7.5,3000,57,"Esperado da classe 2","Esperado da classe 2","Esperado da classe 2","Esperado da classe 2","Neutro","Esperado da classe 2"
"9","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1989-02-23,"Verão","2","Cinzas","Tomazina",8.32,3,17000,6.1,50000,240,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"10","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1989-05-19,"Outono","2","Cinzas","Tomazina",NA,1,2800,7,17000,30,NA,"Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"11","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1989-07-26,"Inverno","2","Cinzas","Tomazina",9,2,170000,7.4,900000,113,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"12","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1989-10-04,"Primavera","2","Cinzas","Tomazina",NA,3,800,7.4,5000,91,NA,"Esperado da classe 2","Esperado da classe 2","Esperado da classe 2","Neutro","Esperado da classe 2"
"13","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1990-07-22,"Inverno","2","Cinzas","Tomazina",NA,1,5000,6.7,23000,270,NA,"Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"14","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1991-03-07,"Verão","2","Cinzas","Tomazina",8.24,1,14000,6.6,14000,727,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Superior ao limite da classe 2","Neutro","Superior ao limite da classe 2"
"15","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1991-07-31,"Inverno","2","Cinzas","Tomazina",NA,1,2300,7.1,7000,88,NA,"Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"16","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1991-09-19,"Inverno","2","Cinzas","Tomazina",8.08,2,1700,7.2,17000,55,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"17","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1991-11-19,"Primavera","2","Cinzas","Tomazina",7.52,1,3000,7.2,17000,78,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"18","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1992-03-16,"Verão","2","Cinzas","Tomazina",8.18,2,50000,6.8,160000,232,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"19","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1992-05-19,"Outono","2","Cinzas","Tomazina",8.68,4,1300,7,7000,51,"Esperado da classe 2","Esperado da classe 2","Superior ao limite da classe 2","Esperado da classe 2","Neutro","Superior ao limite da classe 2"
"20","64360000","Cinzas","64360000 - CZ01 - TOMAZINA",1994-07-27,"Inverno","2","Cinzas","Tomazina",NA,1,500,6.9,2300,98,NA,"Esperado da classe 2","Esperado da classe 2","Esperado da classe 2","Neutro","Esperado da classe 2"
